lon_ev,lat_ev,id-ev,lon-quarry,lat-quarry
-5.92366,54.414,dias2013xgbt,-5.907264,54.4208
-5.95171,54.49857,dias2014tulm,-5.938125,54.4895
-5.86794,54.51181,dias2014njyo,-5.863787,54.4958
-5.80134,54.56495,dias2013txyo,-5.784454,54.5628
-5.80225,54.56657,dias2014hoja,-5.784454,54.5628
-5.77623,54.61345,dias2013udpz,-5.760448,54.6175
-5.74572,54.62725,dias2013uhdz,-5.760448,54.6175
-5.77392,54.60818,dias2014ewzs,-5.760448,54.6175
-5.78787,54.42882,dias2014kuoi,-5.801593,54.4382
-6.38828,53.31081,dias2014nyun,-6.403263,53.3019
-6.48478,53.27541,dias2014hbsd,-6.502024,53.273
-6.48678,53.26357,dias2014ysgw,-6.502024,53.273
-7.84516,54.30433,dias2013usef,-7.828577,54.3012
-7.59973,54.23139,dias2014kjpm,-7.583053,54.2252
-7.64369,54.21611,dias2014qhap,-7.635655,54.201
-7.64783,54.21383,dias2014wcyh,-7.635655,54.201
-7.37506,54.24294,dias2014czvl,-7.382784,54.2267
-7.39394,54.2393,dias2014igru,-7.382784,54.2267
-7.38309,54.24461,dias2014xqzt,-7.382784,54.2267
-7.63155,54.53154,dias2013wrko,-7.642142,54.5191
-7.65826,54.52139,dias2014tfup,-7.642142,54.5191
-7.70886,54.36538,dias2013rrnf,-7.692768,54.3701
-8.87346,53.29926,dias2014hkrw,-8.857801,53.3041
-9.0119,53.32669,dias2013kwls,-9.007666,53.3092
-8.95994,53.49639,dias2014mfdu,-8.951628,53.4814
-9.74272,52.34928,dias2013usft,-9.756791,52.3403
-9.96756,51.83054,dias2014hiyi,-9.95026,51.8281
-7.16731,52.29755,dias2013ljhj,-7.182943,52.2887
-7.16576,52.28484,dias2013xras,-7.182943,52.2887
-7.18236,52.30696,dias2014hxsg,-7.182943,52.2887
-7.17542,52.59936,dias2013mmlh,-7.178395,52.6166
-6.98881,52.61636,dias2013syup,-7.005448,52.6119
-8.21884,54.20869,dias2014uqfa,-8.211046,54.2236
-8.14909,54.30807,dias2014rwzy,-8.134161,54.3006
-8.74221,52.43528,dias2014lwfn,-8.735406,52.4503
-9.05023,52.58319,dias2013vioc,-9.035784,52.5739
-7.7119,53.7817,dias2013uvww,-7.703104,53.768
-7.64941,53.91289,dias2014jnpo,-7.63742,53.9018
-6.34845,53.80885,dias2014mvqo,-6.362562,53.7981
-6.39098,53.69902,dias2013pjhm,-6.397679,53.6828
-6.39022,53.69784,dias2013vgws,-6.397679,53.6828
-6.38188,53.68672,dias2013wgkv,-6.397679,53.6828
-6.38409,53.69193,dias2014kyev,-6.397679,53.6828
-9.72677,54.12892,dias2013oykw,-9.732587,54.1451
-9.28732,53.87024,dias2013xefi,-9.273528,53.8605
-8.80683,53.85244,dias2014nlww,-8.7929,53.842
-7.11476,53.74186,dias2014kweb,-7.115949,53.7247
-6.5723,53.72089,dias2014glho,-6.584645,53.708
-6.81687,53.49918,dias2013vkos,-6.834651,53.4975
-6.81824,53.49431,dias2014gwhx,-6.834651,53.4975
-6.81776,53.49292,dias2014nvau,-6.834651,53.4975
-6.73479,53.95053,dias2014neuz,-6.722476,53.9377
-6.92226,54.23159,dias2013tlkg,-6.937212,54.2232
-6.92748,54.23845,dias2014xehi,-6.937212,54.2232
-7.89134,53.13545,dias2014kamv,-7.876688,53.1267
-8.25212,53.97838,dias2014yqnf,-8.25619,53.9626
-7.69538,52.70427,dias2014gwgf,-7.683089,52.7167
-7.82802,52.55426,dias2014yuer,-7.844765,52.5482
-8.03139,52.77467,dias2014mkth,-8.015947,52.7683
-7.99911,52.76853,dias2014ybyb,-8.015947,52.7683
-7.82002,52.61162,dias2014ybwi,-7.836733,52.6091
-6.7539,54.6347,dias2013visn,-6.758108,54.6171
-6.7737,54.62228,dias2014farv,-6.758108,54.6171
-6.77537,54.6157,dias2014qxoc,-6.758108,54.6171
-6.0617,54.40575,dias2014hxnj,-6.078039,54.4017
-7.50241,54.58026,dias2013reuu,-7.513353,54.5943
-6.89741,54.66047,dias2013qtwj,-6.88735,54.6746
